Item UPC,Top 500,ID,UPC,Product ID,Sequence,Manufacturer,Distributor,Brand,Product Description,Product Size,Drug Interactions,Directions,Indications,Ingredients,Vitamin and Minerals,Low Fat,Low Sodium,Fat Free,Sugar Free,Good Source of Fiber,Vegan,Vegetarian,Lactose Fre,Flavor,Antibiotic Free,Temperature Indicator,Wheat Free,Gluten Free,Hormone Free,Natural,Nitrates Free,Nitrites Free,Organic,Peanut Free,Ready to Cook,Ready to Heat,Dairy Free,Egg Free,Kosher Codes,Recycle Codes,NDC Code,Country of Origin
013600001063,223,80770,00013600001063,891f0020-358c-11e2-9639-005056ab0051,1,Cargill Incorporated/Salt Business Unit,,Diamond Crystal,Diamond Crystal Iodized Salt,,,,,"Salt, Silicon Dioxide, Tricalcium Phosphate, Sodium Bicarbonate, Dextrose and Potassium Iodide 0.006%.",Iodine-49µg-33%.,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,1,,,USA
041196910360,224,25131,00041196910360,676bf3c1-b874-11e0-975d-005056957023,1,"General Mills, Inc.",Progresso Foods,Progresso,Progresso Traditional Chicken & Wild Rice Soup,,,"Ready to serve. Do not add water.
Stove-top: heat in saucepan.
Microwave: heat in covered microwavable bowl on high 2-4 min. Careful-leave in microwave 1 min; stir. Refrigerate leftovers.
1. Lift tab to rim.
2. Pull up & back slowly.
Best if used by date on can end.",,"Chicken Broth, Carrots, Cooked White Chicken Meat, Tomatoes, Wild Rice, Rice, Celery. Contains less than 2% of: Water, Modified Food Starch, Salt, Chicken Fat, Corn Protein (Hydrolyzed), Carrot Puree, Potassium Chloride, Yeast Extract, Sugar, Soy Protein Isolate, Sodium Phosphate, Dried Parsley, Calcium Chloride, Citric Acid, Natural Flavor, Maltodextrin, Beta Carotene (Color).",,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
016000275287,225,131235,00016000275287,f76df950-680d-11e3-94af-005056ab0051,1,"General Mills, Inc.","General Mills Sales, Inc.",Cheerios,General Mills Cheerios Cereal,,,,,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate, Wheat Starch. Vitamin E (Mixed Tocopherols) added to preserve freshness.","Calcium Carbonate, Iron and Zinc (Mineral Nutrients), Vitamin C (Sodium Ascorbate), A B Vitamin (Niacinamide), Vitamin B6 (Pyridoxine Hydrochloride), Vitamin A (Palmitate), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamin Mononitrate), A B Vitamin (Folic Acid), Vitamin B12, Vitamin D3.",,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,1,Y,,
013000798907,226,56760,00013000798907,ee156c70-4d1c-11e1-a2c8-005056957023,1,H.J. Heinz Company,,Heinz,Heinz HomeStyle Pork Gravy,,,"Microwave instructions: pour gravy into microwave safe container. Heat on high about 3 minutes, stirring once.
After opening, refrigerate any unused portion and use within 5 days.",,"Pork Stock, Water, Modified Corn Starch, Wheat Flour, Salt, Monosodium Glutamate, Cooked Pork, Beef Fat, Sugar, Chicken Fat, Caramel Color, Natural Flavor, Spices.
Contains no preservatives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S.A.
613008730444,227,11470,00613008730444,56f41280-467c-11e0-8d0b-005056957023,1,Arizona Beverages USA,,Arizona,AriZona Arnold Palmer Zero Half & Half Iced Tea Lemonade,,,"Shake well.
Refrigerate after opening.",,"Premium Brewed Blend of Black Teas Using Filtered Water, Lemon Juice From Concentrate, Pear Juice From Concentrate, Citric Acid, Natural Flavors, Vitamin C, Malic Acid, Sucralose (Splenda Brand), Gum Acacia.",,,,,,,,,,,,,,,,,,,,,,,,,,"5, 7",,
020000001401,228,40785,00020000001401,ab417de0-4dde-11e1-b154-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Green Giant,Green Giant Baby Brussels Sprouts & Butter Sauce,,,"Keep frozen.
For food safety and quality, follow the directions and cook thoroughly to at least 160 degrees F. Keep frozen until ready to use. Because microwaves and stove-tops vary, adjusting cook times and heat settings may be required. Refrigerate leftovers.
Microwave directions: recommended method.
1. Place pouch on microwavable plate. Cut small slit in center of pouch.
2. Microwave on high 5 to 7 minutes or until thoroughly heated.
3. Let stand 1 minute. Caution: hot! Cut pouch open. Empty into serving dish; stir well.
Stove-top directions: place unopened pouch in 3-quart saucepan of vigorously boiling water. Boil uncovered 20 minutes, turning pouch over after 10 minutes, until thoroughly heated. Caution: hot! Cut pouch open. Empty into serving dish; stir well.",,"Brussels Sprouts in a Sauce Containing Water, Sugar, Enzyme Modified Butter, Salt, Corn Starch, Xanthan Gum, Annatto and Paprika Extract Colors.",,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
761720071045,229,1881,00761720071045,043eaa40-6481-11e1-aa68-005056ab0051,1,ACH Food Companies,,Argo,Argo 100% Pure Corn Starch,,,"How to cook with Argo®:
To thicken hot liquids first mix Argo® corn starch with a little cold water until smooth, gradually stir into hot liquid until blended. Stirring constantly, bring to boil; boil 1 minute.
1 tbsp. Argo® corn starch = 2 tbsp flour.
Argo® corn starch has twice the thickening power of flour. When a gravy, sauce or soup calls for flour, use half as much corn starch to thicken.
To make cake flour: for 1 cup cake flour combine 3/4 cup plus 2 tbsp. All-purpose flour with 2 tbsp. Argo® corn starch.
Fun for kids & crafters: make a batch of play clay, a mixture of Argo® corn starch, baking soda and water; shape and mold like modeling clay. Go to www.argostarch.com/playclay.asp.",,Ingredient: Corn Starch.,,,,,,,,,,,,,,Y,,,,,,,,,,,1,2,,USA
884912014252,230,133096,00884912014252,3c890590-67f8-11e3-94af-005056ab0051,1,"Post Foods, LLC",,Honey Bunches Of Oats,Post Honey Bunches Of Oats Crispy With Almonds Cereal,,,,,"Corn, Whole Grain Wheat, Sugar, Whole Grain Rolled Oats, Brown Sugar, Almonds, Rice, Vegetable Oil (Canola or Sunflower Oil), Wheat Flour, Malted Barley Flour, Corn Syrup, Salt, Whey (from Milk), Malted Corn and Barley Syrup, Wildflower Honey, Caramel Color, Cinnamon, Natural and Artificial Flavor, Annatto Extract (Color). BHT added to packaging material to preserve product freshness.","Reduced Iron, Niacinamide, Vitamin B6, Vitamin A Palmitate, Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1), Zinc Oxide (Source Of Zinc), Folic Acid, Vitamin B12, Vitamin D.",,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,"2,13",Y,,
020000001104,231,25257,00020000001104,6979d9d0-4ddd-11e1-b154-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Green Giant,Green Giant Niblets Corn & Butter Sauce,,,"Keep frozen.
For food safety and quality, follow the directions and cook thoroughly to at least 160 degrees F. Keep frozen until ready to use. Because microwaves and stove-tops vary, adjusting cook times and heat settings may be required. Refrigerate leftovers.
Microwave directions: recommended method.
1. Place pouch on microwavable plate. Cut small slit in center of pouch.
2. Microwave on high 4 to 6 minutes or until thoroughly heated.
3. Let stand 1 minute. Caution: hot! Cut pouch open. Empty into serving dish; stir well.
Stove-top directions: place unopened pouch in 3-quart saucepan of vigorously boiling water. Boil uncovered 18 minutes, turning pouch over after 9 minutes, until thoroughly heated. Caution: hot! Cut pouch open. Empty into serving dish; stir well.",,"Whole Kernel Sweet Corn in a Sauce Containing Water, Enzyme Modified Butter, Salt, Corn Starch, Xanthan Gum, Annatto Extract Color.",,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
037000088752,232,112418,00037000088752,a3d20c10-1bd6-11e3-b5eb-005056ab0051,1,Procter & Gamble Company,,Tide,Tide HE Original Scent Liquid Laundry Detergent 50 Fl Oz,,,"Measure with cap. For large loads, fill to line 2. For medium loads, fill to line 1. Use more for heavily soiled loads. Add clothes, pour into dispenser, start washer.",Helps get great performance out of your HE washer while using only a fraction of the amount of water used in traditional machines.,Active Ingredients:?Biodegradable Surfactants (Anionic and Nonionic) and Enzymes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020000111964,233,5943,00020000111964,18878730-4cf1-11e1-a2c8-005056957023,1,"General Mills, Inc.","General Mills Sales, Inc.",Green Giant,Green Giant French Style Green Beans,,,"Stove-top:
Heat just to boiling; drain, if desired.
Microwave:
Heat in covered microwavable dish on high 2 1/2 to 3 1/2 minutes; drain, if desired.
Refrigerate leftovers.
Better if used by date on end of can.",,"Green Beans, Water, Salt.",,,,,,,,,,,,,,,,,,,,,,,,,1,Y,,
019600046202,234,23193,00019600046202,60df9c90-a4ec-11e1-b291-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Celeste,Celeste Pizza For One Sausage & Pepperoni,,,"Keep frozen.
Simply cook & serve.
Cook thoroughly. See back panel.
For food safety & quality, follow these cooking instructions. Do not thaw.
Conventional oven directions:
Do not put microwave disk in conventional oven.
For crisp crust:
1. Place baking sheet on center oven rack; preheat oven to 400 degrees F.
2. Remove frozen pizza from carton; unwrap.
3. Place frozen pizza on preheated baking sheet.
4. Bake 13 to 15 minutes or until center cheese is melted and crust edge is golden brown.
For extra crisp crust: place frozen pizza directly on center oven rack. Bake as directed.
Microwave oven directions:
Cook only 1 pizza at a time.
Do not add additional toppings.
Microwave ovens vary. Pizza is thoroughly cooked when cheese is melted and hot (at least 165 degrees F).
1. Remove frozen pizza and microwave disk from carton; unwrap.
2. Center disk, silver side up, on microwave-safe plate. Place frozen pizza on disk.
3. Microwave on high (see chart below) or enter TrueCook code 1109.
Microwave oven - cook time.
1100 watt - 3 minutes.
700 watt - 5 minutes.
4. Use pot holders to remove plate from oven. Loosen pizza from disk with spatula. 
Caution: disk and pizza will be very hot.
Note: microwave ovens vary. Cooking time may need to be adjusted. Promptly refrigerate any unused portion. This product must be cooked to an internal temperature greater than 165 degrees F prior to eating.",,"Topping: Sauce (Tomato Puree [Water, Tomato Paste], Seasoning (Salt, Spices, Sugar, Dehydrated Garlic), Green Bell Peppers, Flavor Blend (Maltodextrin, Dextrose, Natural Spice Oleoresins), Modified Corn Starch, Corn Oil, Xanthan Gum), Imitation Mozzarella Cheese Blend (Water, Soybean Oil, Casein (Milk), Low Moisture Part Skim Mozzarella Cheese [Cultured Pasteurized Part Skim Milk, Salt, Enzymes], Modified Food Starch, Salt, Sodium Citrate, Sodium Aluminum Phosphate, Lactic Acid, Natural Flavor, Sodium Phosphates, Artificial Color, Mono and Diglycerides, Sorbic Acid (to preserve Freshness), Artificial Flavor), Cooked Pork Sausage (Pork, Water, Spices, Salt, Dextrose, Paprika, BHT, TBHQ, Citric Acid), Pepperoni (Pork, Beef, Salt, Water, Spices, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Dehydrated Garlic, Sodium Nitrite, with TBHQ, BHT, and Citric Acid to protect Flavor), Crust: Wheat Flour with Malted Barley Flour, Water, Shortening Flake (Palm Oil, Soy Lecithin, Natural Butter Flavor and Beta Carotene), Soybean Oil, Yeast, High Fructose Corn Syrup, Salt, Fermented Wheat Flour, Cultured Corn Syrup Solids, Dough Conditioner (L-Cysteine Monohydrochloride).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
024000163022,236,24154,00024000163022,4bbe9570-533c-11e1-a5a0-005056957023,1,Del Monte Foods,,Del Monte,Del Monte Fresh Cut Whole Kernel Corn,,,"Microwave: empty contents into microwavable dish; cover; heat 3-4 minutes. Stir; season to taste; serve.
1. Lift tab to rim.
2. Peel back carefully.
Use care, edges may be sharp.",,"Corn, Water, Salt.",,,,,,,,,,,,,,,,,,,,,,,,,14,Y,,USA
051000012616,238,50412,00051000012616,d34244b0-be0e-11e0-a1b1-005056957023,1,Campbell Soup Company,,Campbell's,Campbell's Cream of Mushroom Condensed Soup,,,"Mix soup + 1 can water:
Microwave: heat, covered, in microwavable bowl on high 3 to 3 1/2 minutes. Careful, leave in microwave 1 minute, then stir.
Stove: heat, stirring occasionally.
Richer soup: use 1 can milk or 1/2 milk and 1/2 water.
Caution: metal edges are sharp. 
Promptly refrigerate unused soup in separate container.
Steel please recycle where facilities available.",,"Water, Mushrooms, Vegetable Oil (Corn, Cottonseed, Canola, and/or Soybean), Modified Food Starch, Wheat Flour, contains less than 2% of: Salt, Cream (Milk), Whey*, Monosodium Glutamate, Soy Protein Concentrate, Yeast Extract, Flavoring, Garlic*.
*Dehydrated.",,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
021131501242,239,23480,00021131501242,61bfae50-d4fa-11e1-9769-005056ab0051,1,ConAgra Foods Inc.,,Marie Callender's,Marie Callender's Pot Pie Chicken,,,"Microwaveable.
Must be cooked thoroughly.
For food safety and quality:
Keep frozen; do not thaw.
Ovens and wattages vary.
Adjust cooking times as needed.
Product must be cooked thoroughly. Read and follow these cooking directions.
Microwave oven:
Cook only one product at a time.
1. Open carton at push tab; peel back along perforations and completely tear off top of carton. Slit top crust. Cook in carton with top off.
2. Microwave in open carton on high.
1100 watt oven or more: 9 1/2 to 10 1/2 minutes.
Do not cook in microwave ovens below 1100 watt as pot pie may not cook thoroughly. Conventional oven preparation is recommended.
3. Let stand 5 minutes in microwave to complete cooking. Carefully remove as product will be hot.
4. Check that pot pie is cooked thoroughly.
Internal temperature needs to reach 165 degrees F as measured by a food thermometer in several spots.
Crust is golden brown and steam rises from filling.
For flakier crust.
Conventional oven: do not prepare in toaster oven.
1. Preheat oven to 400 degrees F. Remove pot pie from outer carton; leave pot pie in paper tray. Wrap crust edge with strip of aluminum foil.
2. Bake on cookie sheet for 63 to 65 minutes. Carefully remove as product will be hot.
3. Let stand 5 minutes to complete cooking.
4. Check that pot pie is cooked thoroughly.
Internal temperature needs to reach 165 degrees F as measured by a food thermometer in several spots.
Crust is golden brown and steam rises from filling.
Temperatures above 400 degrees F and/or failure to use a cookie sheet may cause damage to the tray, food and/or oven.
Tear off top completely before microwaving.",,"Filling: Chicken Broth (Water, Chicken Broth Powder [Maltodextrin, Chicken Broth, Salt, Flavors]), White Meat Chicken (White Meat Chicken, Water, Isolated Soy Protein Product [Isolated Soy Protein, Modified Potato Starch, Corn Starch, Carrageenan, Soy Lecithin], Salt, Chicken Broth Powder [Maltodextrin, Chicken Broth, Salt, Flavor], Autolyzed Yeast Extract, Flavorings), Carrots, Peas, Celery, Modified Corn Starch, Onions, contains 2% or less of: Salt, Soybean Oil, Nonfat Dry Milk, Chicken Flavor (Chicken Broth, Chicken Fat, Salt, Flavor, Disodium Inosinate & Guanylate), Cream, Sugar, Methylcellulose, Dried Onions, Xanthan Gum, Flavoring, Guar Gum, Extractives of Turmeric. Crust: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Interesterified Soybean Oil, Water, Salt, Modified Whey, Caramel Color. No preservatives.
No artificial flavors.",Selenium--20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
613008719791,240,117712,00613008719791,44466a20-16f9-11e3-8517-005056ab0051,1,Arizona Beverages USA,,Arizona,Arizona Real Brewed Southern Style Sweet Tea,,,Shake well. Refrigerate after opening.,,"Premium Brewed - Blend of Black Teas Using Filtered Water, High Fructose Corn Syrup (Glucose-Fructose Syrup), Citric Acid, Natural Flavors. No Artificial Color. No Artificial Flavor.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,1,7,,
070085060121,242,47064,00070085060121,c1f51520-8d75-11e1-b1b9-005056ab0051,1,H.J. Heinz Company,Heinz North America,Bagel Bites,Bagel Bites Mini Bagels Cheese & Pepperoni - 9 CT,,,"Cook thoroughly.
Keep frozen.
Here's how to make 'em.
For best quality and food safety, follow these preparation instructions:
Keep frozen until ready to use. Cook thoroughly before eating. Use caution as product and packaging will be hot. Follow cooking instructions to ensure product reaches 165 degrees F, as measured by a food thermometer.
Want 'em crispier?
Oven:
Do not use crisping tray!
Preheat oven to 425 degrees F.
Arrange 9 frozen Bagel Bites® about 1/2 inch apart on a baking sheet or shallow pan.
Place baking sheet or pan on the upper middle rack in oven.
Bake 10 minutes.
Let bagels stand for 1 minute before serving.
Toaster oven:
Do not use crisping tray!
Preheat oven to 400 degrees F.
Arrange 9 frozen Bagel Bites® on toaster oven tray and place in toaster oven.
Bake 14 minutes.
Let bagels stand for 1 minute before serving.
Want 'em faster?
Microwave (1200 watt).
(For softer bagels).
Remove crisping tray from the box and remove plastic wrapper.
Place tray, shiny side up, with all 9 frozen bagels in microwave oven.
Cook 2 minutes and 15 seconds on high power.
Let bagels stand for 1 minute before serving.",,"Bagel Half: Flour Blend (Unbleached Enriched Flour [Wheat Flour, Enzymes, Ascorbic Acid, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Whole Wheat Flour), Water, contains less than 2% of High Fructose Corn Syrup, Salt, Soybean Oil, Yeast, Dough Conditioner (Distilled Monoglycerides [Soy], Tocopherols, Ascorbic Acid, Citric Acid). Topping: Mozzarella Cheese (Milk, Cheese Cultures, Salt, Enzymes), Pepperoni (Pork, Salt, Spices, Water, Dextrose, Seasonings [Extractives of Paprika, Natural Spice Extractives, BHA, BHT, Citric Acid], Lactic Acid Starter Culture, Sodium Nitrite), Modified Cornstarch, Nonfat Dry Milk, Sodium Hexametaphosphate, Whey Protein Concentrate (Milk). Sauce: Water, Tomato Paste, contains less than 2% of High Fructose Corn Syrup, Modified Corn Starch, Methyl Cellulose, Flavor Enhancer (Potassium Chloride, Ammonium Chloride, Yeast Extract, Corn Maltodextrin, Lactic Acid, Citric Acid, Calcium Lactate, Natural Flavor), Citric Acid, Salt, Red Pepper, Spices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
024000302964,243,34501,00024000302964,901f1341-c758-11e0-bffd-005056957023,1,Del Monte Foods,College Inn,College Inn,College Inn Light & Fat Free Chicken Broth,,,"Usage tips: 
Keep College Inn&#174; at your fingertips, in your refrigerator door, to conveniently enhance the flavor of your dishes.
Use a splash of College Inn&#174; for added flavor to any of your favorite dishes.
Use College Inn&#174; instead of water to...
Cook fresh or frozen vegetables, rice, noodles or pasta.
Prepare stuffings and gravies.
Moisten leftovers before reheating.
Easy & convenient storage...
Package can be frozen.
Freeze in ice cube trays and use in your favorite recipes.
Do not dilute.
Do not microwave package.",,"Chicken Broth, Salt, Dextrose, Natural Flavor, Yeast Extract, Onion Juice Concentrate, Carrot and Carrot Juice Concentrate.
*A small amount of Glutamate occurs naturally in Yeast Extract.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
041196911831,246,94904,00041196911831,89acd820-b1d6-11e2-aacd-005056ab0051,1,"General Mills, Inc.","General Mills Sales, Inc.",Progresso,Progresso Traditional 99% Fat Free Chicken Noodle Soup,,,"Ready to serve. 
Do not add water.
Stove-top: heat in saucepan.
Microwave: heat in covered microwavable bowl on high 2-4 min. Careful-leave in microwave 1 min; stir. Refrigerate leftovers.",,"Chicken Broth, Carrots, Cooked White Chicken Meat, Egg Noodle (Wheat Flour, Semolina Wheat, Egg*), Celery. Contains less than 2% of: Modified Food Starch, Water, Salt, Chicken Fat, Corn Protein (Hydrolyzed), Egg White*, Carrot Puree, Potassium Chloride, Onion Powder, Sugar, Soy Protein Isolate, Maltodextrin, Yeast Extract, Sodium Phosphate, Garlic Powder, Parsley*, Chives*, Natural Flavor, Spice, Egg Yolk*, Beta Carotene (Color).
*Dried.",,Y,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,,Y,,
644209410408,247,31102,00644209410408,80c12280-a452-11e1-8f1a-005056ab0051,1,Pinnacle Foods Group LLC,Pinnacle Foods Group LLC,Duncan Hines,Duncan Hines Classic Cake Mix Devil's Food,,,"You will need:
3 large eggs.
1 cup water.
1/3 cup vegetable oil.
Baking instructions:
1. Prep 350 degree F.
Preheat oven to 350 degrees F for metal and glass pans, 325 degrees F for dark or coated pans*.
Grease sides and bottom of each pan with shortening or oil spray.
Flour lightly. (Use baking cups for cupcakes.)
2. Mix.
Blend cake mix, water, oil and eggs in a large bowl at low speed until moistened (about 30 seconds).
Beat at medium speed for 2 minutes.
Pour batter in pans and bake immediately.
3. Bake.
Bake following chart below. *Add 3-5 minutes to bake time for dark or coated pans. Cake is done when toothpick inserted in center comes out clean.
Cool in pan on wire rack for 15 minutes. Cool completely before frosting.
Pan size: 2 8-inch: 2 9-inch: 13 x 9-inch: Bundt??**: 24 cupcakes.
Bake time: 26-31 min.: 24-29 min.: 26-31 min.: 33-36 min.: 18-21 min.
Lower fat recipe: prepare and bake following the directions above except using 3/4 cup water, 1/3 cup unsweetened applesauce and 3 eggs. For high altitude instructions, please visit www.dunanhines.com/products.",,"Sugar, Enriched Bleached Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Vegetable Oil Shortening (Partially Hydrogenated Soybean Oil, Propylene Glycol Mono- and Diesters of Fats, Mono and Diglycerides), Cocoa Powder Processed with Alkali, Dextrose, Leavening (Sodium Bicarbonate, Disclaim Phosphate, Sodium Aluminum Phosphate, Monocalcium Phosphate). Contains 2% or less of; Modified Corn Starch, Wheat Starch, Polyglycerol Esters of Fatty Acids, Salt, Cellulose Gum, Xanthan Gum, Maltodextrin, Artificial Flavors.",,,,,,,,,,,,,,,,,,,,,,,,,1,,,
038000403200,248,36433,00038000403200,98092600-58ca-11e1-8be4-005056957023,1,Kellogg Company,Kellogg Sales Co.,Eggo,Kellogg's Eggo Blueberry Waffles - 10 CT,,,"Keep frozen. Toast or heat before eating.
Heating directions:
Keep frozen until ready to use.
Toast or heat before eating.
Toaster:
Heat waffles in toaster at lightest or lowest heat setting. Two toastings may be required to heat completely.
Oven:
1. Preheat oven to 400 degrees - 450 degrees F.
2. Place waffles flat on baking sheet in oven for about 5 minutes or until crispy and hot.
Toasting should be supervised:
1. Toaster heating capabilities vary.
Please refer to manufacturer's instructions.
2. Attend toaster while heating.
3. An adult should supervise heating by children.",,"Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Water, Vegetable Oil (Soybean and Palm Oil), Eggs, Sugar, Dextrose, contains two percent or less of Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Modified Corn Starch, Calcium Carbonate, Salt, Dried Blueberries, Apple Fiber, Natural and Artificial Flavors, Maltodextrin, Cellulose Gum, Citric Acid, Whey, Soy Lecithin, Vitamin A Palmitate, Reduced Iron, Niacinamide, Blue #2 Lake, Vitamin B12, Red #40 Lake, Pyridoxine Hydrochloride (Vitamin B6), Thiamin Hydrochloride (Vitamin B1), Riboflavin (Vitamin B2).",,,,,,,,,,,,,,,,,,,,,,,,,"1,13",,,
099555082074,249,116528,00099555082074,1daaed40-158d-11e3-ace1-005056ab0051,1,"Green Mountain Coffee, Inc.",,Eight O'Clock Coffee,Eight O'Clock Keurig Brewed Coffee 100% Colombian Medium Roast - 12 CT,,,,,Arabica Coffee.,,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,1,Y,,Canada
077644302326,250,79468,00077644302326,25118540-2a7d-11e2-97ea-005056ab0051,1,"LiDestri Foods, Inc",,Francesco Rinaldi,Francesco Rinaldi Meat Flavored Traditional Pasta Sauce,,,"Refrigerate after opening.
To serve: heat sauce on stovetop or in microwave, stirring occasionally. 
Refrigerate immediately after opening.",,"Tomato Puree (Water, Tomato Paste, Citric Acid), Ground Beef, Sugar, Soybean Oil, Salt, Dried Onions, Extra Virgin Olive Oil, Imported Pecorino Romano Cheese (Sheep's Milk, Rennet, Salt), Spices, Dried Garlic.",,,,,,,,,,,,Shelf Stable,,Y,,,,,,,,,,,,,,
041196910940,251,94902,00041196910940,e654efe0-b1d6-11e2-aacd-005056ab0051,1,"General Mills, Inc.",,Progresso,Progresso Traditional Beef Barley Soup,,,"Ready to serve.
Do not add water.
Stove-top: heat in saucepan.
Microwave: heat in covered microwavable bowl on high 2-4 min. Careful-leave in microwave 1 min, stir. 
Refrigerate leftovers.",,"Water, Beef Broth, Cooked Beef, Carrots, Barley, Peas, Tomato Paste, Tomatoes, Celery, Potatoes, Corn. Contains less than 1% of: Modified Food Starch, Soybean Oil, Sugar, Salt, Soy Protein (Hydrolyzed), Yeast Extract, Caramel Color, Natural Flavor, Spice, Sodium Phosphate, Beef Fat, Beef Extract, Toasted Onion Powder, Garlic Powder, Calcium Chloride, Citric Acid, Maltodextrin.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,,Y,,
077567254504,253,137994,00077567254504,a7a53350-89e3-11e3-90b9-005056ab0051,1,Unilever Bestfoods North America,,Breyers,Breyers Frozen Dairy Dessert Cookies & Cream,,,,,"Milk, Sugar, Chocolate Cookie Pieces [Sugar, Unbleached Unenriched Wheat Flour, Palm And Palm Kernel Oil, Cocoa processed with Alkali, Salt, Sodium Bicarbonate, Soy Lecithin, Natural Flavor], Corn Syrup, Cream, contains 2% or less of each of the following: Whey, Carob Bean Gum, Mono and Diglycerides, Molasses, Natural Flavor, Carrageenan, Vitamin A Palmitate, Tara Gum, Guar Gum.",,,,,,,,,,,,Frozen,,,,,,,,,,,,,"6,13",,,
041196011111,256,36984,00041196011111,9adb0140-b885-11e0-975d-005056957023,1,"General Mills, Inc.",Progresso Foods,Progresso,Progresso Traditional Gluten Free Manhattan Clam Chowder Soup,,,"1. Lift tab to rim.
2. Pull up & back slowly.
Ready to serve. Do not add water.
Stove-top: heat in saucepan.
Microwave: heat in covered microwavable bowl on high 2-4 min. Careful-leave in microwave 1 min; stir. Refrigerate leftovers.",,"Water, Carrots, Clams, Potatoes, Tomato Paste, Celery. Contains less than 2% of: Modified Food Starch, Soybean Oil, Salt, Sugar, Soy Protein Concentrate, Potassium Chloride, Dried Parsley, Sodium Phosphate, Natural Flavor, Yeast Extract.",,Y,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,USA
021000010875,258,27682,00021000010875,7320f3c0-5403-11e1-aec1-005056957023,1,"Kraft Foods, Inc.","Kraft Foods Global, Inc.",Kraft,Kraft Original Flavor Macaroni & Cheese Dinner,,,"To prepare easy mac cup.
1. Remove lid and cheese sauce mix; set aside. (Note: you will see loose white powder in pasta. This is necessary for proper cooking.)
2. Add water to fill-line in cup. Stir. Microwave, uncovered, on high 3-1/2 min. or until pasta is tender. Do not drain. (Excess liquid is needed to make cheese sauce.)
3. Caution: cup and contents will be very hot! Keep cup upright to avoid spills.
4. Stir in cheese sauce mix until well blended. (Cheese sauce will thicken upon standing.) Do not leave microwave unattended. Do not reuse cup.
Best when used by date on bottom.",,"Enriched Macaroni Product (Wheat Flour, Glyceryl Monostearate, Niacin, Ferrous Sulfate [Iron], Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid); Cheese Sauce Mix (Whey, Corn Syrup Solids, Palm Oil, Milkfat, Salt, Milk Protein Concentrate, contains less than 2% of Medium Chain Triglycerides, Sodium Tripolyphosphate, Citric Acid, Guar Gum, Sodium Phosphate, Natural Flavor, Lactic Acid, Calcium Phosphate, Monosodium, Glutamate, Yellow 5, Yellow 6, Artificial Flavor, Enzymes, Cheese Culture); Modified Food Starch, Maltodextrin, Potassium Chloride, Acetylated Monoglycerides, Salt, Medium Chain Triglycerides, Apocarotenal (Color).",,,,,,,,,,,,,,,,,,,,,,,,,,5,,
077567254382,259,43029,00077567254382,b3790320-6deb-11e1-b895-005056ab0051,1,Unilever Bestfoods North America,,Breyers,Breyers French Vanilla Ice Cream,,,,,"Milk, Cream, Sugar, Egg Yolk, Tara Gum, Natural Flavor.",,,,,,,,,,,,,,,,,,,,,,,,,"6,13",,,
071698021134,260,80495,00071698021134,5972e860-4571-11e2-aaf6-005056ab0051,1,Adirondack Beverage Company,,Adirondack,Adirondack Seltzer Lemon Lime,,,,,"Crystal Clear Carbonated Water, Natural Flavor.",,,,,,,,,,,,Shelf Stable,,,,,,,,,,,,,1,Y,,
